-3.710262551960519239e+00,4.568055621028906721e+00,2.222726036421481588e+00,2.575893188744012186e+00,2.529295996957912962e+00,2.423939751297230050e+00,2.482181277425659083e+00,2.497016561531119727e+00,1.345402493468107918e+00,4.673797087744732126e-01,1.076002453972040085e+00,1.315493712440587215e+00,1.331307175284572430e+00
6.853799383278122548e+01,-7.405160764626117498e+00,8.171089399858759705e+00,-3.098776713554517448e-01,9.027710027516723912e+00,6.652326543914184320e+00,8.893453672875594407e+00,5.741248372135860478e+00,1.227851256745275538e-01,-3.489964407244213085e+00,1.119035173951358875e+00,2.911010713034674513e+00,1.206645216147736344e+00
4.075167952588609666e+01,5.520339226077433104e-01,1.002768915510169379e+01,5.285199304770046957e+00,1.182567225765241226e+01,9.590374281296844217e+00,1.015076913384843493e+01,9.564446851886835077e+00,6.247373577572313152e+00,2.860751553873047470e+00,6.502386077449931356e+00,7.515149495356349796e+00,5.002597450150210179e+00
3.961130753447479691e+01,1.040274715044910314e+00,1.031147573181131882e+01,5.790348456748831474e+00,1.125341817797287014e+01,9.221331508719872616e+00,1.001841988835690422e+01,9.268246162879803407e+00,6.146872004534919220e+00,2.878768661325167066e+00,7.038816274635107284e+00,7.807699949595120259e+00,5.499782095963698936e+00
3.296021939587242855e+01,3.456322165954470282e+00,1.006185727068663738e+01,6.387050553792369634e+00,1.157843179873697892e+01,1.005432547051826297e+01,9.942666894123190602e+00,9.139549149369980086e+00,6.622441884366342180e+00,3.899602227421286038e+00,7.064583962394618055e+00,7.774853406179949467e+00,5.899239445043784613e+00
6.980982027912183696e+01,-9.124658810804570308e+00,6.755204985609494450e+00,8.206813366895591988e-02,8.949225843025482519e+00,5.244168655671150425e+00,6.431780109714952509e+00,4.358178218074924004e+00,1.790534937579962849e+00,-2.240926863151543991e+00,3.078044679328889366e+00,4.024664191734425245e+00,1.083982895802569235e+00
3.946734533294668523e+01,1.388682829439689348e+00,1.002174076333294650e+01,5.050980025064785828e+00,1.140388447508128245e+01,9.623166774004760171e+00,9.956154608460099809e+00,9.396156791961693955e+00,6.224172570153934103e+00,2.787004236835533000e+00,7.134433319696172227e+00,8.096818744594649786e+00,5.450350679614038185e+00
7.201707749619519916e+01,-9.866251643908061197e+00,6.580570940657334056e+00,-2.018270254214602488e+00,7.681036479558930097e+00,5.098462323355227532e+00,7.444248850680013518e+00,5.667662398420416636e+00,7.397773180442646090e-01,-4.992574742264953791e+00,2.338957253594137420e+00,4.426222352740691868e+00,4.729841027600215630e-01
2.835687449826005846e+01,5.178357629356570513e+00,1.020224895090724004e+01,6.666619120699113665e+00,1.108798841217203091e+01,9.902498482876561425e+00,1.029055504782206754e+01,9.401451095411699654e+00,6.918252629581667534e+00,4.788161290988467655e+00,7.427204945110878143e+00,8.130008620283341259e+00,6.443810568079610945e+00
6.768191601896380405e+01,-4.834694238314221515e+00,6.726902334121518834e+00,-5.138401980423746851e-01,7.141461226680352326e+00,3.981330974534885048e+00,5.604067628252211719e+00,5.864740755187387578e+00,2.339591493831754132e+00,-2.192154353730036309e+00,2.119960089865140951e+00,3.991941782772006508e+00,1.747587906411107506e+00
